Coin,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
ACE,39.691734000000004,102.90126175,91.74663920588236,,39.691734000000004
ADA,-82.86223148660328,-23.55676888624052,-20.8668159056806,-85.41761444786944,15.58927214509804
AI,1.4267151549295773,1.8172035833333333,2.0061473846153843,1.5363534159292036,2.19280325
AI16Z,18.45911989664083,13.680341165048544,17.056234557788944,15.51345705006766,10.010671543668122
AIXBT,107.75788338726791,47.49623742857143,81.62320680047932,139.63229096582734,41.86423590836197
ALGO,4.5963502499999995,3.1506724,2.075914791666667,1.5718277,3.9305160000000003
ALT,13.130805272727274,27.26754070250896,16.95029704708098,27.468901556666665,27.305315346246974
ANIME,31.39341494075144,27.15178401002506,36.75012540453074,30.376957796940193,32.42169754244032
APE,11.180226430438841,15.513360010384217,15.478503785597383,13.527053561123768,16.017931788944722
APT,17.765507507462683,11.045724016483517,12.835382959322034,19.52976974742268,27.416335037037037
AR,10.42080442857143,17.510685105263157,16.40781477777778,13.78849775,15.601871076923077
ARB,84.35641229910713,98.04127988888888,72.11270305323194,54.025370679665734,5.4043568043478265
ARK,-1.071376131147541,0.6746305555555555,1.9471958363636364,1.265940380952381,1.531720393939394
ATOM,1.4221546737588653,1.0964392115384614,0.8531049940828402,1.0691722875,-0.34543028571428575
AVAX,192.7436384933687,296.7194386879433,206.67360771359225,168.4248052928177,970.948819849315
BABY,32.624945333333336,32.624945333333336,32.624945333333336,32.624945333333336,32.624945333333336
BADGER,9.847174894736844,0.7282532441860465,7.5505230293103445,10.336892208542714,18.96377118181818
BANANA,-9.059404461538461,-11.590198545454546,-13.615428500000002,-8.624761863636364,-13.076732142857143
BERA,-11.300883341232232,109.66033428860418,66.49387294856146,78.38194786041359,62.35495507524932
BIGTIME,41.811888648,33.49447931818182,34.40376973958333,35.84270547727272,-18.1333098
BIO,8.579202800847458,3.6036088518518516,6.467605464788733,7.804028755520505,7.88269846875
BLAST,15.12948404225352,9.943506892857142,8.798748610062892,12.248093344262294,4.238004200000001
BLUR,51.295641609523805,9.479844710144928,28.761827558139537,73.2583321103896,46.54389902325582
BNB,4.234004540983607,6.2604728000000005,-0.3955337363636362,-5.830383398550724,10.210596699999998
BNT,-1.9645217000000001,-1.9645217000000001,-1.9645217000000001,-1.9645217,
BOME,5.504321,2.7443180833333334,2.4134851739130436,-0.7035483333333333,-4.237954571428571
BRETT,6.773152747169811,6.8537313555555555,6.258475016339869,5.450866608187135,0.8750011111111111
BTC,29.775793996709808,26.837732818246522,28.95733690117606,27.930601332731317,25.28359693696403
CAKE,39.928906999999995,16.604796574712644,16.249793416666666,16.924495449275362,18.778494377483444
CANTO,-19.3530991,-19.3530991,-19.3530991,-21.50084,-16.13148775
CHILLGUY,26.064600679558012,24.407606674479165,18.91816711886305,16.47806317467249,19.178544987096775
COMP,23.164483025,18.30526850649351,32.64728632824428,86.95022028571428,147.88432233333333
CRV,-13.078782290657438,-22.35857311235955,-9.287196260869566,-4.1867258627450985,-0.5477708103448279
CYBER,63.70221733333333,127.52945666666666,191.356696,-0.125022,191.356696
DOGE,34.596739887489505,138.1557801169687,237.44515117682468,241.04733827471838,356.56367626438356
DOT,2.0358975916666666,1.9124073008130082,1.9850112432432432,2.2323363216783214,3.0327083333333333
DYDX,1.7027729386792454,3.741093323809524,2.724732336708861,1.7124426272401434,1.3859400714285715
DYM,18.51480392857143,-6.172114,14.06094189361702,9.860493222222221,-7.017528185185184
EIGEN,61.04368180230326,439.1372312363636,174.48702630779218,299.3403754057279,144.63837926233768
ENA,289.99319997058825,185.24633391822957,196.7691186626564,316.66719493004587,128.40207546612467
ENS,-3.03125125,-3.03125125,-3.03125125,-3.03125125,-3.03125125
ETC,34.073563,41.21092222222223,70.43621270000001,12.661485333333333,31.203928000000005
ETH,103.9744814820932,129.18429709861056,151.91096174706908,90.22921709097707,147.25460593143674
ETHFI,166.24011630017762,68.44661750471698,126.31454211046513,165.62275367321868,141.08877655374593
FARTCOIN,-46.91516416740033,-24.475540841020077,-13.438230126398373,-22.344071941797818,1.1788478357781753
FET,4.457531563636364,6.392955142857143,5.423034695238095,2.41971431496063,4.1426245106382975
FIL,-8.0460668,-8.0460668,-8.0460668,-8.0460668,
FTM,73.65124507913669,66.47644886666667,75.39949577889448,93.94929973157895,111.86909179999999
FTT,4.234134991363637,3.9657301658079622,3.7940757654819603,4.640649998854086,16.757056838942308
FXS,-1.2886862307692308,-2.4956348012048193,-1.6061133524904214,-0.2798022627737228,
GALA,3.4351290350877193,4.5321205454545455,5.164842215053763,4.275294457627118,2.7357261250000002
